id,type,tier,model,adapter,prompt_render_version,target_prob,target_rank,final_entropy,mean_seq_entropy,time_s,source,prompt,target,metadata
lr_gen_0014,long_range_retrieval,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.9371509552001953e-07,1555,0.8396936058998108,3.0,0.343,gen_long_range,"The market was bustling with activity as traders from distant lands displayed their wares. The festival preparations were underway, with decorations being hung across every doorway. Sophia's favorite food is tacos. Night fell slowly over the town, and lanterns were lit one by one along the pathways. What is Sophia's favorite food?", tacos,"{""n_fillers"": 3, ""fact_insert_idx"": 2, ""fact_insert_frac"": 0.667}"
dk_gen-wikipedia-random_0030,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,4.559755325317383e-06,1490,4.4633378982543945,3.203125,0.323,,,,{}
fret_counterfact_0009,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,9.417533874511719e-06,1454,5.612985610961914,3.5,0.331,counterfact_extended,"According to multiple authoritative sources discussing  Auckland, it is widely accepted that What is the twin city of Auckland? It is", Brisbane,"{""subject"": "" Auckland"", ""base_prompt"": ""What is the twin city of Auckland? It is""}"
sp_lm_syneval_0024,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.0623207092285156e-05,1406,6.62738037109375,7.875,0.296,lm_syneval,The pilots next to the ministers, laugh,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""prep_anim"", ""variant"": ""plur_MS_MV_plur_ES"", ""contrast"": ""laughs""}"
sp_lm_syneval_0017,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,6.556510925292969e-06,1334,5.455190658569336,6.9375,0.291,lm_syneval,The managers the parents like, smile,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""obj_rel_no_comp_across_anim"", ""variant"": ""plur_MS_MV_plur_ES_EV"", ""contrast"": ""smiles""}"
lr_gen_0001,long_range_retrieval,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,5.699694156646729e-07,1254,1.24545156955719,3.453125,0.356,gen_long_range,"Several merchants had set up their stalls along the main road, selling various goods. Emma's favorite food is pasta. The river flowed quietly through the valley, its waters reflecting the afternoon sun. A blacksmith worked at his forge, the rhythmic sound of his hammer ringing through the air. What is Emma's favorite food?", pasta,"{""n_fillers"": 3, ""fact_insert_idx"": 1, ""fact_insert_frac"": 0.333}"
fr_counterfact_0043,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.1086463928222656e-05,1210,5.184685230255127,4.125,0.306,counterfact,What is the twin city of Dubai? It is, Istanbul,"{""subject"": "" Dubai""}"
sp_gen_agreement_0006,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,3.409385681152344e-05,1017,6.447043418884277,6.28125,0.294,gen_agreement,The teachers in the large auditorium, run,"{""singular"": false, ""distance"": 4}"
dk_gen-wikipedia-random_0000,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.16066837310791e-06,966,3.3362321853637695,3.484375,0.337,,,,{}
sp_gen_agreement_0007,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,3.24249267578125e-05,933,6.086369514465332,6.53125,0.297,gen_agreement,The dog next to the broken windows, writes,"{""singular"": true, ""distance"": 5}"
dk_gen-wikipedia-random_0019,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,6.556510925292969e-06,861,3.426400661468506,2.96875,0.327,,,,{}
fr_counterfact_0079,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.562999725341797e-06,857,2.4007346630096436,4.96875,0.296,counterfact,Hershey Country Club is within, Pennsylvania,"{""subject"": ""Hershey Country Club""}"
fr_counterfact_0000,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,8.702278137207031e-06,728,3.358774423599243,4.65625,0.296,counterfact,Fan Death was started in, Brooklyn,"{""subject"": ""Fan Death""}"
sp_lm_syneval_0021,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.5987625122070312e-05,710,4.778927326202393,8.1875,0.292,lm_syneval,The pilots that the assistant likes, laugh,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""obj_rel_across_anim"", ""variant"": ""plur_MS_MV_sing_ES_EV"", ""contrast"": ""laughs""}"
fr_counterfact_0039,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00010919570922851562,627,7.799570083618164,5.90625,0.298,counterfact,Manila is a twin city of, Nice,"{""subject"": ""Manila""}"
dk_gen-wikipedia-random_0022,domain_knowledge,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,9.822845458984375e-05,546,7.123306751251221,2.65625,0.322,,,,{}
sp_gen_agreement_0003,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,4.363059997558594e-05,481,4.869095802307129,7.65625,0.294,gen_agreement,The cats that the students admired, walk,"{""singular"": false, ""distance"": 4}"
fr_counterfact_0058,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000133514404296875,475,6.086369514465332,5.15625,0.295,counterfact,Bill Bergey plays as, linebacker,"{""subject"": ""Bill Bergey""}"
fret_counterfact_0001,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,4.57763671875e-05,429,4.1928324699401855,3.203125,0.311,counterfact_extended,"Scholars studying Peter-Jan Wagemans have documented that Peter-Jan Wagemans, who plays", opera,"{""subject"": ""Peter-Jan Wagemans"", ""base_prompt"": ""Peter-Jan Wagemans, who plays""}"
dk_gen-wikipedia-random_0008,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.169741153717041e-06,400,2.885390043258667,3.328125,0.339,,,,{}
sp_lm_syneval_0014,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0001087188720703125,391,5.770780086517334,7.8125,0.293,lm_syneval,The teachers that the guard loves, smile,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""obj_rel_across_anim"", ""variant"": ""plur_MS_MV_sing_ES_EV"", ""contrast"": ""smiles""}"
sp_gen_agreement_0001,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00011968612670898438,382,6.356874942779541,7.03125,0.296,gen_agreement,The dogs next to the broken windows, run,"{""singular"": false, ""distance"": 5}"
dk_gen-wikipedia-random_0051,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.491474151611328e-05,340,4.283000946044922,3.875,0.331,,,,{}
sp_gen_agreement_0000,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00013637542724609375,322,5.951117038726807,6.375,0.297,gen_agreement,The cat next to the broken windows, speaks,"{""singular"": true, ""distance"": 5}"
sp_lm_syneval_0022,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00015926361083984375,315,6.176537990570068,6.21875,0.295,lm_syneval,The pilots across from the taxi drivers, smile,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""prep_anim"", ""variant"": ""plur_MS_MV_plur_ES"", ""contrast"": ""smiles""}"
fr_counterfact_0049,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0001888275146484375,313,6.672464370727539,4.71875,0.302,counterfact,The domain of activity of Leonhard Euler is, astronomy,"{""subject"": "" Leonhard Euler""}"
fret_counterfact_0022,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,6.496906280517578e-06,298,1.031301498413086,3.546875,0.34,counterfact_extended,"According to multiple authoritative sources discussing Nicholas Liverpool, it is widely accepted that Nicholas Liverpool passed away at", Miami,"{""subject"": ""Nicholas Liverpool"", ""base_prompt"": ""Nicholas Liverpool passed away at""}"
fr_counterfact_0033,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000244140625,280,7.258559226989746,4.5,0.297,counterfact,Konrad Adenauer is a, mayor,"{""subject"": ""Konrad Adenauer""}"
fret_counterfact_0020,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0002956390380859375,266,6.401959419250488,4.375,0.328,counterfact_extended,"The following information pertains to PAX. After careful examination of the available evidence, we can state that PAX is located in", Melbourne,"{""subject"": ""PAX"", ""base_prompt"": ""PAX is located in""}"
sp_gen_agreement_0004,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000194549560546875,252,5.658069610595703,7.8125,0.294,gen_agreement,The children that the students admired, live,"{""singular"": false, ""distance"": 4}"
fret_counterfact_0027,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,5.0067901611328125e-06,236,0.2352832704782486,3.828125,0.346,counterfact_extended,"In a comprehensive review of Byron Dafoe, researchers noted several key facts. Among them, Byron Dafoe, who plays the position", goaltender,"{""subject"": ""Byron Dafoe"", ""base_prompt"": ""Byron Dafoe, who plays the position""}"
dk_gen-wikipedia-random_0011,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0001773834228515625,235,5.725696086883545,2.921875,0.346,,,,{}
fr_counterfact_0072,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0001201629638671875,210,2.693782091140747,5.625,0.298,counterfact,"Lambunao, which is located in", Philippines,"{""subject"": ""Lambunao""}"
fr_counterfact_0031,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,5.91278076171875e-05,202,2.457089900970459,4.5625,0.301,counterfact,Mokhtar Belmokhtar died at, Libya,"{""subject"": ""Mokhtar Belmokhtar""}"
fr_counterfact_0006,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,3.5762786865234375e-05,188,1.4877792596817017,5.84375,0.3,counterfact,Munich Airport was named for, Munich,"{""subject"": ""Munich Airport""}"
sp_gen_agreement_0002,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0002803802490234375,172,5.410106182098389,7.90625,0.294,gen_agreement,The child that the students admired, lives,"{""singular"": true, ""distance"": 4}"
dk_gen-wikipedia-random_0056,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000530242919921875,147,6.988054275512695,4.0,0.331,,,,{}
dk_gen-wikipedia-random_0040,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00011777877807617188,137,4.59859037399292,3.078125,0.329,,,,{}
fr_counterfact_0045,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,6.389617919921875e-05,133,2.0400609970092773,3.9375,0.302,counterfact,Giovanni Battista Guarini works as, poet,"{""subject"": ""Giovanni Battista Guarini""}"
fret_counterfact_0024,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0002994537353515625,133,5.612985610961914,5.09375,0.323,counterfact_extended,"A detailed analysis of The Squadronaires shows that across various references, The Squadronaires performs", jazz,"{""subject"": ""The Squadronaires"", ""base_prompt"": ""The Squadronaires performs""}"
fret_counterfact_0028,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0009307861328125,133,7.078222751617432,3.59375,0.37,counterfact_extended,Historical records about  Ulf von Euler reveal many interesting details. One well-established fact is that The expertise of Ulf von Euler is, physiology,"{""subject"": "" Ulf von Euler"", ""base_prompt"": ""The expertise of Ulf von Euler is""}"
sc_gen_struct_0038,structural_copying,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000396728515625,132,5.026890754699707,2.96875,0.318,gen_struct,"Name: Bob
Age: 52
City: Berlin

Name: Frank
Age: 23
City:", Delhi,"{""pattern"": ""structure_copy""}"
sc_gen_word_list_0049,structural_copying,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,7.82012939453125e-05,101,3.200979709625244,3.484375,0.3,gen_word_list,"List of fruits: kiwi, apple, banana, cherry, grape,", elderberry,"{""pattern"": ""category_list"", ""category"": ""fruits""}"
fr_counterfact_0003,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.2172927856445312e-05,100,0.38039809465408325,3.6875,0.302,counterfact,Nikolai Myaskovsky speaks the language, Russian,"{""subject"": ""Nikolai Myaskovsky""}"
dk_gen-wikipedia-random_0013,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000423431396484375,94,4.530963897705078,3.171875,0.336,,,,{}
dk_gen-wikipedia-random_0014,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00091552734375,94,6.086369514465332,2.296875,0.348,,,,{}
fret_counterfact_0006,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00092315673828125,87,6.492127895355225,5.09375,0.335,counterfact_extended,"In the context of understanding  Arthur Goring Thomas and its significance, we note that What does Arthur Goring Thomas play? They play", opera,"{""subject"": "" Arthur Goring Thomas"", ""base_prompt"": ""What does Arthur Goring Thomas play? They play""}"
fr_counterfact_0063,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00015544891357421875,85,3.584195375442505,4.0,0.295,counterfact,Henry Louis Gates writes in, English,"{""subject"": ""Henry Louis Gates""}"
alg_gen_first_letters_0029,algorithmic,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0004062652587890625,82,3.426400661468506,5.125,0.303,gen_first_letters,"First letters of Date, Ice, Mango, Lemon, Orange, Elderberry:", DIMLOE,"{""task"": ""first_letters""}"
sc_gen_word_list_0047,structural_copying,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00054931640625,78,5.274853706359863,4.09375,0.302,gen_word_list,"List of fruits: lemon, cherry, banana, grape, fig,", elderberry,"{""pattern"": ""category_list"", ""category"": ""fruits""}"
fret_counterfact_0013,factual_retrieval,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.001708984375,78,7.619233131408691,4.96875,0.321,counterfact_extended,"When examining the topic of  Log Cabin Republicans in depth, one important detail stands out: The domain of work of Log Cabin Republicans is", LGBT,"{""subject"": "" Log Cabin Republicans"", ""base_prompt"": ""The domain of work of Log Cabin Republicans is""}"
fr_counterfact_0042,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00048065185546875,68,3.471484899520874,4.5625,0.302,counterfact,The law in Kyustendil Province declares the language, Bulgarian,"{""subject"": "" Kyustendil Province""}"
fret_counterfact_0039,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00015354156494140625,63,1.3919752836227417,4.96875,0.329,counterfact_extended,"A detailed analysis of Bromheads Jacket shows that across various references, Bromheads Jacket was founded in", Sheffield,"{""subject"": ""Bromheads Jacket"", ""base_prompt"": ""Bromheads Jacket was founded in""}"
sp_gen_agreement_0005,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0010833740234375,63,5.049432754516602,7.875,0.293,gen_agreement,The children with the red markings, walk,"{""singular"": false, ""distance"": 4}"
fret_counterfact_0016,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000362396240234375,55,2.8628480434417725,4.09375,0.32,counterfact_extended,"In a comprehensive review of Mechado, researchers noted several key facts. Among them, Mechado, created in", Philippines,"{""subject"": ""Mechado"", ""base_prompt"": ""Mechado, created in""}"
fret_counterfact_0034,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0029449462890625,54,6.988054275512695,5.0,0.315,counterfact_extended,"A detailed analysis of Istanbul shows that across various references, Istanbul is a twin city of", Toronto,"{""subject"": ""Istanbul"", ""base_prompt"": ""Istanbul is a twin city of""}"
fr_counterfact_0054,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.000774383544921875,47,3.268605947494507,5.1875,0.303,counterfact,The law in Donetsk Oblast declares the language, Ukrainian,"{""subject"": "" Donetsk Oblast""}"
dk_gen-wikipedia-random_0053,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0002918243408203125,39,3.539111375808716,2.5625,0.336,,,,{}
fret_counterfact_0018,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,9.584426879882812e-05,38,1.2623581886291504,2.78125,0.315,counterfact_extended,"According to multiple authoritative sources discussing Roland Pertwee, it is widely accepted that Roland Pertwee works as", actor,"{""subject"": ""Roland Pertwee"", ""base_prompt"": ""Roland Pertwee works as""}"
fr_counterfact_0075,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.004119873046875,35,6.717548847198486,3.734375,0.294,counterfact,KMVP-FM is located in, Arizona,"{""subject"": ""KMVP-FM""}"
fr_counterfact_0021,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0014801025390625,34,3.358774423599243,5.09375,0.307,counterfact,Which position does Anthony Obodai play? They play as, midfielder,"{""subject"": "" Anthony Obodai""}"
fret_counterfact_0008,factual_retrieval,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.007415771484375,34,7.078222751617432,4.28125,0.334,counterfact_extended,"The following information pertains to Girl Code. After careful examination of the available evidence, we can state that Girl Code is to debut on", MTV,"{""subject"": ""Girl Code"", ""base_prompt"": ""Girl Code is to debut on""}"
dk_gen-wikipedia-random_0025,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0006103515625,32,3.4489428997039795,3.734375,0.329,,,,{}
rn_gen_0028,reasoning_numerical,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,5.4836273193359375e-05,31,1.7244714498519897,2.40625,0.323,gen_reasoning_num,Eli has 7 stones. Sofia has 9 more than Eli. Hank has 3 fewer than Sofia. How many does Hank have? Answer:, 13,"{""variant"": 4}"
fr_counterfact_0029,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.002471923828125,27,5.071974754333496,4.65625,0.297,counterfact,America's Best Dance Crew was released on, MTV,"{""subject"": ""America's Best Dance Crew""}"
dk_gen-wikipedia-random_0059,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0038604736328125,27,5.252311706542969,3.421875,0.328,,,,{}
sc_gen_word_list_0053,structural_copying,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0023651123046875,26,3.8096165657043457,3.515625,0.31,gen_word_list,"List of fruits: kiwi, lemon, mango, apple, banana,", date,"{""pattern"": ""category_list"", ""category"": ""fruits""}"
dk_gen-wikipedia-random_0043,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0004444122314453125,25,2.1978557109832764,3.09375,0.322,,,,{}
fr_counterfact_0050,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.005706787109375,25,6.582295894622803,4.71875,0.295,counterfact,Carlos Zingaro is native to, Lisbon,"{""subject"": ""Carlos Zingaro""}"
rn_gen_0029,reasoning_numerical,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.6927719116210938e-05,21,0.38321587443351746,2.3125,0.333,gen_reasoning_num,"Kai started with 17 toys. On Monday Kai got 4 more, on Tuesday got 4 more, and on Wednesday got 5 more. How many toys does Kai have in total? Answer:", 30,"{""variant"": 5}"
fret_counterfact_0007,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00135040283203125,19,1.8822661638259888,2.890625,0.328,counterfact_extended,"According to multiple authoritative sources discussing Kaalapani, it is widely accepted that Kaalapani was created in", India,"{""subject"": ""Kaalapani"", ""base_prompt"": ""Kaalapani was created in""}"
dk_gen-wikipedia-random_0035,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0018768310546875,19,3.5616533756256104,3.75,0.331,,,,{}
dk_gen-wikipedia-random_0055,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00531005859375,19,4.373169422149658,2.984375,0.328,,,,{}
fr_counterfact_0009,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.006134033203125,19,3.7194480895996094,4.15625,0.292,counterfact,Latvia is affiliated with, NATO,"{""subject"": ""Latvia""}"
rn_gen_0020,reasoning_numerical,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,6.914138793945312e-05,18,1.6230319738388062,2.46875,0.324,gen_reasoning_num,Daniel has 24 hats. Nina has 8 more than Daniel. Ava has 9 fewer than Nina. How many does Ava have? Answer:, 23,"{""variant"": 4}"
rn_gen_0005,reasoning_numerical,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.1742115020751953e-05,17,0.2874118983745575,1.984375,0.33,gen_reasoning_num,"Frank started with 14 shirts. On Monday Frank got 2 more, on Tuesday got 2 more, and on Wednesday got 7 more. How many shirts does Frank have in total? Answer:", 25,"{""variant"": 5}"
fr_counterfact_0051,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00022602081298828125,17,0.2381010353565216,3.78125,0.299,counterfact,"Jason Puncheon, who plays the position", midfielder,"{""subject"": ""Jason Puncheon""}"
fr_counterfact_0055,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.0032501220703125,17,4.576048374176025,4.75,0.312,counterfact,"Nyhetsmorgon, that was formulated in", Sweden,"{""subject"": ""Nyhetsmorgon""}"
dk_gen-wikipedia-random_0049,domain_knowledge,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00860595703125,17,4.4407958984375,3.1875,0.334,,,,{}
rn_gen_0039,reasoning_numerical,brief,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.4603137969970703e-05,16,0.08347625285387039,2.65625,0.335,gen_reasoning_num,"Felix had 18 carrots. Then Felix bought 9 more and gave 4 to Owen. If 2 people each have that same final number of carrots, how many carrots do they have altogether? Answer:", 46,"{""variant"": 7}"
rn_gen_0036,reasoning_numerical,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00014019012451171875,16,1.8371819257736206,2.546875,0.339,gen_reasoning_num,Jasper has 18 stickers. Sadie has 4 more than Jasper. Naomi has 2 fewer than Sadie. How many does Naomi have? Answer:, 20,"{""variant"": 4}"
dk_curated_domain_0017,domain_knowledge,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.00182342529296875,16,2.1978557109832764,2.109375,0.319,,,,{}
fr_counterfact_0048,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.002044677734375,16,3.899785041809082,3.859375,0.298,counterfact,"Stielers Handatlas, from", Germany,"{""subject"": ""Stielers Handatlas""}"
fret_counterfact_0019,factual_retrieval,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,0.003082275390625,16,3.9899535179138184,5.0625,0.333,counterfact_extended,"In the context of understanding Kochaj tylko mnie and its significance, we note that Kochaj tylko mnie, that was from", Poland,"{""subject"": ""Kochaj tylko mnie"", ""base_prompt"": ""Kochaj tylko mnie, that was from""}"
