prompt_id,type,winner,prompt,target,tier,source,tokens_approx,pc1,pc2,pc3,length_resid_pc1,length_resid_pc2,length_resid_pc3
alg_seed_0034,algorithmic,constant_2.6,"Take the first letter of each word and combine them: blue, green, red
Answer:", bgr,short,alg_initials,18,3.951449,2.179127,0.284858,-0.820045,-1.389541,-0.796117
alg_seed_0036,algorithmic,off,"Take the first letter of each word and combine them: orange, black, yellow
Answer:", oby,short,alg_initials,18,4.519452,1.549314,0.892133,-0.124509,-0.759319,-1.244481
alg_seed_0037,algorithmic,constant_2.6,"For each number, use this rule: if it is even, halve it; if it is odd, add 1. Then sum the results for: 5, 7, 10, 6, 11, 2
Answer:", 35,brief,alg_parity_rule,39,-8.484914,5.575722,0.3447,-11.280934,-2.570941,-0.871675
alg_seed_0038,algorithmic,late_boost_bal_0.60,"Transform each number using this rule: if it is even, add 4; if it is odd, double it. Then subtract the first transformed value from the last transformed value for: 11, 6, 2, 4, 8
Answer:", -10,brief,alg_transform_list,46,-10.291448,6.154412,1.054594,-12.421607,-2.614883,-1.489914
alg_seed_0039,algorithmic,constant_2.6,"Take the first letter of each word and combine them: red, white, blue
Answer:", rwb,short,alg_initials,18,3.880694,2.157505,0.284408,-0.874562,-1.390489,-0.809834
alg_seed_0040,algorithmic,constant_2.6,"Take every second word starting from the second item in this list, reverse that smaller list, and return its 2nd item: omega, gamma, delta, theta, kappa, alpha
Answer:", theta,brief,alg_string_rule,36,-5.19165,3.692631,0.670267,-7.98887,-1.32047,-0.96599
alg_seed_0041,algorithmic,late_boost_bal_0.60,Add 6 and 12. Then multiply that result by the absolute difference between 10 and 8. Result:, 36,short,alg_arithmetic2,22,-0.924597,1.708273,-0.283993,-4.993266,0.18342,0.673119
alg_seed_0042,algorithmic,late_boost_bal_0.60,Start with 29. Add 14. Then subtract 9. Result:, 34,short,alg_arithmetic,11,3.332712,0.393464,-0.597412,-1.8529,1.090174,1.33154
alg_seed_0046,algorithmic,constant_2.6,"Sum only the numbers greater than 8 from: 12, 14, 7, 2, 6, 11
Answer:", 37,short,alg_filter_sum,19,-2.557357,5.683735,0.591168,-7.921933,-2.885304,-1.219962
alg_seed_0047,algorithmic,constant_2.6,"Sort these numbers in ascending order and give the 4th number: 5, 28, 21, 22, 14
Answer:", 22,short,alg_sort,22,-4.5954,5.404339,-0.442505,-9.461154,-2.545234,0.003771
alg_seed_0049,algorithmic,constant_2.6,"Transform each number using this rule: if it is even, add 4; if it is odd, double it. Then subtract the first transformed value from the last transformed value for: 4, 2, 6, 9, 5
Answer:", 2,brief,alg_transform_list,46,-9.821248,6.042088,0.702149,-11.910292,-2.835086,-1.278687
alg_seed_0050,algorithmic,constant_2.6,"Rotate this list left by 2 positions and give the 2nd item: gamma, sigma, delta, beta, alpha
Answer:", beta,short,alg_extract_rotate,23,-2.71897,3.944729,1.045401,-7.201523,-1.229357,-1.208351
alg_seed_0051,algorithmic,constant_2.6,"Use this mapping A=2, B=3, C=5, D=7. Sum the values for: B, C, D, C, A
Answer:", 22,short,alg_mapping,22,-4.422466,4.770263,1.585811,-9.140694,-1.639728,-1.994937
alg_seed_0052,algorithmic,constant_2.6,"Sum only the numbers greater than 6 from: 14, 16, 12, 13, 9, 5
Answer:", 64,short,alg_filter_sum,19,-3.112702,6.089583,0.585742,-8.562696,-3.122738,-1.251904
alg_seed_0055,algorithmic,edges_narrow_bal_0.55,"Remove duplicates while keeping first occurrence order: yellow, red, yellow, yellow, blue, black
How many items remain?", 4,short,alg_dedup,22,0.893252,1.190757,-0.670379,-3.078329,0.064288,0.985949
alg_seed_0056,algorithmic,constant_2.6,"Use this mapping A=2, B=3, C=5, D=7. Sum the values for: D, A, D, C, C
Answer:", 26,short,alg_mapping,22,-4.453334,4.718993,1.529732,-9.165302,-1.543058,-1.85291
alg_seed_0058,algorithmic,constant_2.6,"Use this mapping A=2, B=3, C=5, D=7. Sum the values for: C, B, D, C, A
Answer:", 22,short,alg_mapping,22,-4.456056,4.914366,1.407657,-9.20948,-1.790215,-1.827612
alg_seed_0059,algorithmic,late_boost_bal_0.60,"Is 35 divisible by 5? Answer yes or no.
Answer:", yes,short,alg_divisible,13,4.721951,1.081417,0.479686,-0.3806,-0.222141,-0.6001
alg_seed_0060,algorithmic,constant_2.6,"Remove duplicate numbers, sort the remaining values in ascending order, and give the 3rd number from: 11, 7, 2, 11, 1, 3, 2
Answer:", 3,brief,alg_sort_dedup,31,-7.896691,5.971818,0.158942,-11.752311,-2.637767,-0.62101
alg_seed_0061,algorithmic,late_boost_bal_0.60,Add 11 and 17. Then multiply that result by the absolute difference between 7 and 5. Result:, 56,short,alg_arithmetic2,22,-0.695221,1.541083,-0.237494,-4.728145,0.289354,0.645254
alg_seed_0063,algorithmic,constant_2.6,"Transform each number using this rule: if it is even, double it; if it is odd, add 3. Then give the largest transformed value from: 19, 10, 15, 2, 14
Answer:", 28,brief,alg_select_transform,40,-8.557193,4.226296,-0.341944,-10.908018,-1.393125,0.274363
alg_seed_0065,algorithmic,late_boost_bal_0.60,Start with 12. Add 10. Then subtract 5. Result:, 17,short,alg_arithmetic,11,3.149418,0.393486,-0.639893,-2.015078,1.044925,1.31961
alg_seed_0066,algorithmic,late_boost_bal_0.60,"Count how many times ""blue"" appears in: blue blue cat red stone red bird leaf blue blue blue stone fish blue
Answer:", 6,short,alg_counting,28,0.628525,3.692338,-0.996923,-3.24616,-2.768106,0.253485
alg_seed_0067,algorithmic,constant_2.6,"Count how many numbers are both greater than 8 and even in: 14, 17, 21, 7, 3, 11, 8, 13
Answer:", 1,short,alg_filter_count,27,-4.897753,5.727473,-0.069377,-9.232796,-3.061582,-0.59459
alg_seed_0068,algorithmic,off,"Take every second word starting from the second item in this list, reverse that smaller list, and return its 2nd item: alpha, kappa, theta, omega, delta, gamma
Answer:", omega,brief,alg_string_rule,36,-4.958599,3.578464,0.882278,-7.746907,-1.172491,-1.127748
alg_seed_0072,algorithmic,constant_2.6,"Count how many numbers are both greater than 8 and even in: 14, 11, 18, 5, 2, 7, 1, 19
Answer:", 2,short,alg_filter_count,27,-4.471483,5.478462,0.270632,-8.771959,-2.813908,-0.897959
alg_seed_0073,algorithmic,constant_2.6,"Count how many times ""dog"" appears in: red dog dog dog fish red tree red dog fish
Answer:", 4,short,alg_counting,23,1.41853,3.495576,-1.017735,-3.020061,-2.458965,0.440258
alg_seed_0074,algorithmic,constant_2.6,"Rotate this list left by 3 positions and give the 4th item: gamma, theta, omega, sigma, alpha
Answer:", theta,short,alg_extract_rotate,23,-3.077283,3.853117,0.794663,-7.52108,-1.12343,-0.907702
alg_seed_0076,algorithmic,constant_2.6,"Sum only the numbers greater than 8 from: 13, 11, 4, 16, 7, 3
Answer:", 40,short,alg_filter_sum,19,-2.425876,5.555933,0.496878,-7.761437,-2.823322,-1.114218
alg_seed_0078,algorithmic,triad_odd_bal_0.45,"What is the last letter of the word silver?
Answer:", r,short,alg_last_letter,13,9.461285,0.50215,-2.133412,4.424188,-1.663609,1.419325
alg_seed_0079,algorithmic,constant_2.6,"Count how many numbers are both greater than 8 and even in: 12, 5, 20, 17, 18, 24, 8, 9
Answer:", 4,short,alg_filter_count,27,-4.780814,5.608489,0.256106,-9.113298,-2.80663,-0.820988
alg_seed_0080,algorithmic,constant_2.6,"Rotate this list left by 1 positions and give the 4th item: omega, sigma, delta, beta, theta
Answer:", theta,short,alg_extract_rotate,23,-2.551708,3.675428,0.586503,-6.961997,-1.146314,-0.713844
alg_seed_0081,algorithmic,triad_odd_bal_0.45,"Reverse this word: forest
Answer:", tserof,short,alg_reverse,6,15.031318,-0.97847,0.261161,9.299826,-0.446316,-0.709184
alg_seed_0082,algorithmic,late_boost_bal_0.60,Start with 5. Add 3. Subtract 4. Double. Result:, 8,short,alg_transform,11,1.837877,0.652615,-0.641109,-3.321264,0.985869,1.297899
alg_seed_0084,algorithmic,constant_2.6,"Sum only the numbers greater than 9 from: 11, 5, 4, 15, 16, 14
Answer:", 56,short,alg_filter_sum,19,-2.767932,5.561028,0.595577,-8.101078,-2.684344,-1.136622
alg_seed_0085,algorithmic,late_boost_bal_0.60,Add 2 and 6. Then multiply that result by the absolute difference between 8 and 16. Result:, 64,short,alg_arithmetic2,22,-1.314918,1.859167,-0.475142,-5.413911,0.134514,0.906606
alg_seed_0087,algorithmic,constant_2.6,"For each number, use this rule: if it is even, halve it; if it is odd, add 1. Then sum the results for: 12, 11, 4, 10, 5, 9
Answer:", 41,brief,alg_parity_rule,39,-8.870703,5.634414,1.013446,-11.700543,-2.257875,-1.409978
alg_seed_0088,algorithmic,late_boost_bal_0.60,Add 17 and 16. Then multiply that result by the absolute difference between 14 and 9. Result:, 165,short,alg_arithmetic2,22,-0.707796,1.417602,-0.302453,-4.703764,0.363564,0.711846
alg_seed_0090,algorithmic,constant_2.6,"Take every second word starting from the second item in this list, reverse that smaller list, and return its 2nd item: theta, beta, sigma, alpha, gamma, kappa
Answer:", alpha,brief,alg_string_rule,36,-4.498973,3.541679,0.824533,-7.281459,-1.319553,-1.162345
alg_seed_0092,algorithmic,constant_2.6,"Rotate this list left by 3 positions and give the 2nd item: alpha, beta, omega, sigma, delta
Answer:", delta,short,alg_extract_rotate,23,-2.516964,3.606247,1.067496,-6.926207,-0.928766,-1.132597
alg_seed_0095,algorithmic,late_boost_bal_0.60,Start with 4. Add 3. Subtract 4. Halve. Result:, 1,short,alg_transform,11,1.394644,0.663491,-1.220899,-3.751686,0.975925,1.941487
alg_seed_0096,algorithmic,late_boost_bal_0.60,Start with 31. Add 9. Then subtract 5. Result:, 35,short,alg_arithmetic,11,3.660366,0.417179,-0.536757,-1.531257,0.940672,1.172359
alg_seed_0097,algorithmic,edges_narrow_bal_0.55,"Remove duplicates while keeping first occurrence order: yellow, blue, green, red, red, blue
How many items remain?", 4,short,alg_dedup,22,1.141187,0.98229,-0.476167,-2.79257,0.260517,0.829343
alg_seed_0099,algorithmic,late_boost_bal_0.60,Start with 5. Halve. Double. Subtract 4. Result:, 0,short,alg_transform,10,3.748298,0.023764,-0.098689,-1.455252,1.39311,0.855058
alg_seed_0100,algorithmic,constant_2.6,"Reverse this word: bridge
Answer:", egdirb,short,alg_reverse,6,15.491393,-1.041652,0.557414,9.760124,-0.450746,-1.065223
alg_seed_0101,algorithmic,constant_2.6,"For each number, use this rule: if it is even, halve it; if it is odd, add 1. Then sum the results for: 1, 8, 6, 4, 13, 7
Answer:", 33,brief,alg_parity_rule,39,-8.554667,5.540139,0.436582,-11.339627,-2.508777,-0.957976
alg_seed_0102,algorithmic,constant_2.6,"For each number, use this rule: if it is even, halve it; if it is odd, add 1. Then sum the results for: 5, 3, 4, 14, 6, 13
Answer:", 36,brief,alg_parity_rule,39,-8.641414,5.457088,0.620478,-11.420151,-2.291507,-1.046669
alg_seed_0103,algorithmic,constant_2.6,"What is the word in position 2 of this list: alpha, beta, delta, gamma, theta
Answer:", beta,short,alg_extract,20,0.556983,1.77063,1.409633,-3.799212,0.055115,-1.427471
alg_seed_0105,algorithmic,constant_2.6,"What is the last letter of the word magnet?
Answer:", t,short,alg_last_letter,13,9.234154,0.743289,-2.00614,4.132345,-1.749244,1.310258
alg_seed_0106,algorithmic,constant_2.6,"What is the word in position 3 of this list: sigma, delta, gamma, omega, beta
Answer:", gamma,short,alg_extract,20,0.882581,1.730764,1.539945,-3.48968,0.107271,-1.53706
alg_seed_0107,algorithmic,late_boost_bal_0.60,Start with 19. Add 4. Then subtract 5. Result:, 18,short,alg_arithmetic,11,3.307957,0.412774,-0.593964,-1.866066,0.98356,1.222025
alg_seed_0108,algorithmic,constant_2.6,"For each number, use this rule: if it is even, halve it; if it is odd, add 1. Then sum the results for: 11, 5, 1, 6, 4, 10
Answer:", 30,brief,alg_parity_rule,39,-8.61407,5.475148,0.753327,-11.395294,-2.303995,-1.19866
alg_seed_0109,algorithmic,late_boost_bal_0.60,"Is 31 divisible by 4? Answer yes or no.
Answer:", no,short,alg_divisible,13,4.997258,0.621351,0.850801,-0.001925,0.216821,-0.889212
alg_seed_0111,algorithmic,off,"Reverse this word: window
Answer:", wodniw,short,alg_reverse,6,15.57072,-1.465184,0.96138,9.932274,0.051183,-1.331294
alg_seed_0112,algorithmic,constant_2.6,"Choose the largest number from: 2, 27, 5, 29, 3
Answer:", 29,short,alg_select,14,0.194602,3.679452,-0.18579,-5.329124,-1.568724,-0.039343
alg_seed_0116,algorithmic,constant_2.6,"What is the word in position 2 of this list: beta, theta, gamma, sigma, delta
Answer:", theta,short,alg_extract,20,0.551233,1.842383,1.861219,-3.843504,0.178046,-1.814094
alg_seed_0122,algorithmic,constant_2.6,"Choose the largest number from: 28, 23, 36, 39, 1
Answer:", 39,short,alg_select,14,-1.340849,4.262616,0.028432,-6.958029,-1.7196,-0.272059
alg_seed_0123,algorithmic,constant_2.6,"Choose the largest number from: 13, 16, 39, 29, 14
Answer:", 39,short,alg_select,14,-1.785992,4.214779,0.343221,-7.38422,-1.480079,-0.513667
alg_seed_0126,algorithmic,constant_2.6,"Choose the smallest number from: 39, 28, 34, 10, 3
Answer:", 3,short,alg_select,14,-1.195052,3.868068,-0.053104,-6.699384,-1.52833,-0.251645
alg_seed_0128,algorithmic,constant_2.6,"Choose the smallest number from: 2, 15, 22, 21, 28
Answer:", 2,short,alg_select,14,-1.437929,4.40274,0.054527,-7.076062,-1.88802,-0.382415
alg_seed_0129,algorithmic,constant_2.6,"Choose the smallest number from: 15, 17, 28, 16, 8
Answer:", 8,short,alg_select,14,-0.740658,3.428002,0.503165,-6.162434,-1.069672,-0.719273
alg_seed_0130,algorithmic,constant_2.6,"What is the last letter of the word planet?
Answer:", t,short,alg_last_letter,13,9.265569,0.643452,-2.183451,4.192647,-1.718261,1.501659
cc_seed_0000,code_comprehension,constant_2.6,"```python
nums = [1, 5, 2, 8, 3, 10]
total = 0
for x in nums:
    if x % 2 == 0 and x > 5:
        total += x * 2
    elif x < 4:
        total += 1
print(total)
```
Output:", 39,brief,seed_codegen,53,-10.036985,6.190731,1.219127,-11.41373,-2.830856,-1.690665
cc_seed_0002,code_comprehension,off,"```python
items = ['apple', 'banana', 'cherry', 'date']
result = items[2]
print(result)
```
Output:", cherry,short,seed_codegen,16,-0.852939,1.309849,1.942803,-5.594171,1.522226,-1.324448
cc_seed_0003,code_comprehension,constant_2.6,"```python
data = {'a': 10, 'b': 20, 'c': 30}
data['a'] = data.pop('c') + 5
data.update({'b': data['b'] // 2, 'd': 15})
print(sum(data.values()))
```
Output:", 60,short,seed_codegen,29,-7.642993,5.357579,0.930106,-11.630796,-1.663671,-1.076716
cc_seed_0004,code_comprehension,constant_2.6,"```python
data = {'a': 10, 'b': 20}
data['a'] += data['b']
data['c'] = data.pop('b') + 5
print(data['a'] + data['c'])
```
Output:", 55,short,seed_codegen,26,-5.757115,4.619269,1.096508,-10.022902,-0.98559,-0.998809
cc_seed_0009,code_comprehension,constant_2.6,"```python
data = [x * 2 if x % 2 == 0 else x * 3 for x in range(10) if x > 3]
res = [v for v in data if v % 4 == 0]
print(res[1])
```
Output:", 12,brief,seed_codegen,52,-6.437749,4.716412,1.095722,-7.664158,-2.364769,-1.602208
cc_seed_0010,code_comprehension,off,"```python
text = 'alpha-beta-gamma-delta'
parts = text.split('-')
result = parts[2][::-1]
print(result)
```
Output:", ammag,short,seed_codegen,16,3.338732,-1.915055,1.601455,-0.670001,3.129462,-0.86109
cc_seed_0014,code_comprehension,constant_2.6,"```python
data = {'a': 10, 'b': 20}
data['c'] = data.get('a') + 5
data['a'] = data['b'] * 2
total = sum(data.values())
print(total)
```
Output:", 75,short,seed_codegen,29,-6.496633,4.717925,1.56808,-10.378597,-1.143881,-1.619393
cc_seed_0016,code_comprehension,constant_2.6,"```python
data = (10, 20, 30, 40, 50)
shifted = tuple(x + 5 for x in data[1:4])
print(shifted[1])
```
Output:", 35,short,seed_codegen,26,-6.239091,4.751619,0.400327,-10.449234,-1.481541,-0.566953
cc_seed_0017,code_comprehension,off,"```python
a = 'hello'
b = 'world'
c = (a + b)[3:8]
print(c)
```
Output:", lowor,short,seed_codegen,19,3.16372,-1.23506,1.918355,-0.685597,2.61046,-1.206249
cc_seed_0018,code_comprehension,constant_2.6,"```python
data = [15, 2, 8]
data.append(5)
data.append(1)
data.sort()
print(data[2])
```
Output:", 5,short,seed_codegen,15,-3.453334,3.619758,-1.560992,-8.666116,-1.238706,1.491163
cc_seed_0021,code_comprehension,constant_2.6,"```python
x = 10
y = 5
z = x * 2 if x < y else y ** 2
res = z + 10 if z % 5 == 0 else z - 10
print(res)
```
Output:", 35,brief,seed_codegen,49,-7.302276,5.407046,1.174194,-9.032846,-2.588424,-1.693213
cc_seed_0024,code_comprehension,constant_2.6,"```python
data = [x for x in range(100) if x % 3 == 0]
result = [y for y in data if str(y).endswith('1')]
print(len(result))
```
Output:", 3,brief,seed_codegen,33,-3.68192,3.589379,-0.420216,-6.85492,-1.570453,0.192284
cc_seed_0025,code_comprehension,constant_2.6,"```python
def f(x):
    return x * 2 if x % 2 == 0 else x + 1

data = [1, 2, 3, 4]
res = [f(v) for v in data if f(v) > 3]
print(res)
```
Output:"," [4, 4, 8]",brief,seed_codegen,48,-9.892476,5.361238,0.144259,-11.634097,-2.076911,-0.29564
cc_seed_0029,code_comprehension,constant_2.6,"```python
text = 'banana'
target = 'a'
count = 0
for char in text:
    if char == target:
        count += 1
print(count)
```
Output:", 3,brief,seed_codegen,31,-3.967721,3.067023,-1.545901,-7.139763,-1.611654,1.078083
cc_seed_0030,code_comprehension,constant_2.6,"```python
nums = [1, 2, 3, 4]
for i in range(len(nums)):
    if nums[i] % 2 == 0:
        nums[i] *= 10
    else:
        nums.append(nums[i] + 5)
print(nums[5])
```
Output:", 8,brief,seed_codegen,35,-7.410597,4.772928,0.303403,-10.523197,-1.829148,-0.69116
cc_seed_0031,code_comprehension,constant_2.6,"```python
data = [10, 25, 40, 55, 70, 85]
result = data[::-1]
print(result[2])
```
Output:", 55,short,seed_codegen,19,-4.074361,3.540146,-1.813752,-8.800539,-1.173524,1.830532
cc_seed_0032,code_comprehension,constant_2.6,"```python
text = '  \n  hello world  \t'
result = text.strip()
print(result)
```
Output:", hello world,short,seed_codegen,18,-0.571136,0.638322,-0.115807,-4.842496,1.228208,0.609439
cc_seed_0034,code_comprehension,constant_2.6,"```python
data = [10, 20, 30]
x = sum(data)
if x > 50:
    data.pop(1)
    data.insert(0, x)
else:
    data[2] = x
print(data[1])
```
Output:", 10,short,seed_codegen,29,-9.70518,5.343089,0.721102,-13.61221,-1.252397,-0.71592
cc_seed_0036,code_comprehension,constant_2.6,"```python
data = [1, 5, 2, 8, 3, 5, 4, 5]
target = 5
count = 0
for x in data:
    if x == target:
        count += 1
    elif x > target:
        count -= 1
print(count)
```
Output:", 2,brief,seed_codegen,49,-10.481948,6.074646,-0.052073,-12.232144,-2.867095,-0.401174
cc_seed_0037,code_comprehension,off,"```python
text = 'red-green-blue-yellow'
parts = text.split('-')
result = parts[-2][::-1]
print(result)
```
Output:", eulb,short,seed_codegen,16,0.226801,0.28017,-0.711299,-4.159816,1.103274,1.06621
cc_seed_0038,code_comprehension,constant_2.6,"```python
data = [x for x in range(10) if x % 2 == 0]
res = [a + b for a in data for b in data if a < b and (a + b) % 3 == 0]
print(len(res))
```
Output:", 3,brief,seed_codegen,54,-4.845068,4.232948,1.250928,-5.769639,-2.374487,-1.837238
cc_seed_0039,code_comprehension,constant_2.6,"```python
def double(x): return x * 2

vals = [1, 2, 3]
res = [double(v) + 1 for v in vals if double(v) > 3]
print(res)
```
Output:"," [5, 7]",brief,seed_codegen,36,-6.231983,4.571155,0.228999,-9.258419,-1.707666,-0.35647
cc_seed_0040,code_comprehension,constant_2.6,"```python
x = 1
y = 15
while y > 0:
    if y % 3 == 0:
        x *= 2
    else:
        x += 1
    y -= 4
print(x)
```
Output:", 8,brief,seed_codegen,39,-7.847444,5.308117,1.501608,-10.701395,-1.752301,-1.665261
cc_seed_0041,code_comprehension,constant_2.6,"```python
data = [1, 5, 2, 8, 3, 5, 4, 5, 6]
target = 5
count = 0
for x in data:
    if x == target:
        count += 1
print(count)
```
Output:", 3,brief,seed_codegen,41,-8.594074,5.074938,-0.533596,-11.046298,-2.258812,0.15925
cc_seed_0042,code_comprehension,constant_2.6,"```python
data = [1, 2]
for x in range(3, 6):
    if sum(data) % x == 0:
        data.append(x * 2)
    else:
        data.append(x + 1)
print(data)
```
Output:"," [1, 2, 6, 5, 6]",brief,seed_codegen,33,-8.828121,4.800555,2.747392,-12.23171,-0.456816,-2.544423
cc_seed_0046,code_comprehension,constant_2.6,"```python
data = [10, 20]
for x in range(5, 15, 2):
    if x % 3 == 0:
        data.append(x * 2)
    elif x > 10:
        data.insert(0, x)
    else:
        data = data + [x]
print(data)
```
Output:"," [13, 11, 10, 20, 5, 7, 18]",brief,seed_codegen,45,-11.117967,5.553479,2.710182,-13.271428,-1.08802,-2.611411
cc_seed_0047,code_comprehension,constant_2.6,"```python
data = [15, 2, 8, 22, 5, 12]
data.sort(reverse=True)
res = data[3] + data[-1]
print(res)
```
Output:", 10,short,seed_codegen,23,-6.494548,4.504313,-0.439604,-10.97016,-1.230999,0.46383
cc_seed_0049,code_comprehension,off,"```python
text = 'red-green-blue-yellow'
parts = text.split('-')
result = parts[2][::-1]
print(result)
```
Output:", eulb,short,seed_codegen,16,2.867157,-1.343952,0.188369,-1.217736,2.22472,0.336383
cc_seed_0051,code_comprehension,constant_2.6,"```python
nums = [10, 20, 30, 40]
total = 0
for n in nums:
    total += n
print(total)
```
Output:", 100,short,seed_codegen,26,-4.324531,4.622653,-0.478189,-8.554572,-1.990937,0.237719
cc_seed_0052,code_comprehension,constant_2.6,"```python
data = {'a': 1, 'b': 2}
update = {'b': 3, 'c': 4}
data.update(update)
print(data['b'])
```
Output:", 3,short,seed_codegen,22,-3.889845,2.95636,-0.575882,-8.123247,-0.673273,0.497564
cc_seed_0053,code_comprehension,constant_2.6,"```python
total = 0
for i in range(1, 10, 2):
    if i % 3 == 0:
        total += i * 2
    else:
        total += i
print(total)
```
Output:", 37,brief,seed_codegen,36,-7.476805,5.564123,0.759863,-10.710974,-2.255965,-1.06746
cc_seed_0060,code_comprehension,constant_2.6,"```python
vals = [10, 5, 20, 3, 15]
res = 0
for x in vals:
    if x > 8 and x % 2 == 0:
        res += x
print(res)
```
Output:", 30,brief,seed_codegen,40,-7.496363,4.892885,-0.803026,-10.080759,-2.22361,0.481156
cc_seed_0061,code_comprehension,constant_2.6,"```python
d = {'a': 10, 'b': 20}
x = 5
if x * 2 == 10:
    d['a'] = d.get('c', 5) + d['b']
else:
    d['b'] = 0
print(d['a'] + d['b'])
```
Output:", 45,brief,seed_codegen,40,-9.114301,5.733793,1.429632,-11.919008,-1.911774,-1.610169
cc_seed_0063,code_comprehension,constant_2.6,"```python
n = 10
res = 0
while n > 0:
    if n % 3 == 0:
        res += n * 2
    else:
        res += 1
    n -= 2
print(res)
```
Output:", 16,brief,seed_codegen,41,-8.796316,5.17465,1.687205,-11.36161,-1.423567,-1.715309
cc_seed_0064,code_comprehension,late_boost_bal_0.60,"```python
text = 'alpha,beta;gamma.delta'
parts = text.replace(';', ',').replace('.', ',').split(',')
print(parts[2])
```
Output:", gamma,short,seed_codegen,15,-0.037021,-0.115918,1.558623,-4.479178,2.213483,-0.972506
